crid://crid_1_0	tv_channel	sort_title_asc	チャンネル１７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０	チャンネル１ああああああああああああ					1	4														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_1	tv_channel	sort_title_asc	チャンネル２	チャンネル２アアアアああああああああああああああああ					1	15														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_2	tv_channel	sort_title_asc	チャンネル３	チャンネル３ああああああああああああああああああああ					1	4														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_3	tv_channel	sort_title_asc	チャンネル４	チャンネル４アアあああああああああああああああああああああああああ					1	12														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_4	tv_channel	sort_title_asc	チャンネル５	チャンネル５あああああああああああ					1	4														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_5	tv_channel	sort_title_asc	チャンネル６	チャンネル６あああああああああああ					1	4														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_6	tv_channel	sort_title_asc	チャンネル７	チャンネル７あああああああああああ					1	4														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-01-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_7	tv_channel	sort_title_asc	チャンネル８	チャンネル８あああああああああああ					1	15														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_8	tv_channel	sort_title_asc	チャンネル９	チャンネル９あああああああああああ					0	18														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2012-08-11-01-01-01							2008-01-11-02-01-01	2012-08-31-01-01-01																																																		
crid://crid_1_9	tv_channel	sort_title_asc	チャンネル１０	チャンネル１０あああああああああああ					0	20														2008-01-10-01-01-01	2012-08-11-01-01-01	2008-01-12-01-01-01	2008-01-11-01-01-01							2008-01-11-02-01-01	2008-01-11-01-01-01																																																		
