0	00:00:02.00	00:00:03.00	13	R	n	大家好？ 
1	00:00:03.00	00:00:07.50	13	R	n	在過去的5年中，Uniquely Singapore一直擔任我們。
2	00:00:08.50	00:00:10.00	13	R	n	我們向世界展示了新加坡如何可以是唯一的、
3	00:00:10.50	00:00:13.00	21	R	n	温暖、從事
4	00:00:13.50	00:00:15.00	21	R	n	並有望難忘。
5	00:00:15.00	00:00:16.50	13	R	n	而現在的世界正在發生變化
6	00:00:17.00	00:00:18.50	13	R	n	所以我們必須。
7	00:00:21.00	00:00:24.00	13	L	n	我們生活在一個日益數字化的世界。
8	00:00:28.50	00:00:30.00	13	L	n	我們已經進入到我們想要的信息、
9	00:00:30.50	00:00:32.50	13	L	n	毎當我們需要它。
10	00:00:35.50	00:00:38.00	23	L	n	研究告訴我們，新加坡作為目的地、
